id,titular
1,Sebastián Sichel logró la hazaña y le quitó Ñuñoa al Frente Amplio: Emilia Ríos lo reconoció entre lágrimas
2,Rodrigo Ubilla: El Frente Amplio y el Partido Comunista sufrieron una gran paliza
3,Partido Republicano entra de lleno en los territorios: Son el partido con más Cores en Chile y registraron fuerte alza en concejales
4,"Javier Jaramillo, el alcalde formalizado por delitos sexuales contra funcionarias que fue reelecto en Victoria"
5,Alcalde reelecto por Coronel será formalizado en diciembre por supuesto cohecho
6,Alcalde Chillán Viejo fue detenido por violencia intrafamiliar: había sido reelecto
7,“Te extrañaremos” y “los bailarines de la Barriga”: festejo viral de Rodolfo Carter desata tenso debate en La Florida
8,Matthei recibió a los triunfadores de derecha y se dio un mega abrazo con Francisco Orrego
9,Polémica en el Maule: Alcalde de Linares (RN) es reelecto pese a estar con arresto domiciliario nocturno por fraude al fisco
10,“Viña Avanza para todos”: Macarena Ripamonti retomará este martes sus labores en el Municipio de la Ciudad Jardín
11,El fuerte golpe de Desbordes al oficialismo y especialmente al PC con amplia victoria en Santiago
12,Tras elecciones: Cadem revela que Matthei y Vodanovic lideran la carrera para próxima presidencial
13,"Alejandro Navarro tras paso a segunda vuelta por GORE Bío Bío: ""No he sido regalón de ningún gobierno"""
14,Amarillos y Demócratas presentaron 56 candidatos a alcaldes: no ganaron en ninguna comuna
15,"Quién es Matías Toledo, el independiente de la coordinadora Shishigang que derrotó a la derecha en Puente Alto después de 24 años"
16,Sale la Democracia Cristiana y aterrizan “Las Águilas de Jesús” en la Municipalidad de Concepción
17,La irrelevancia electoral de Amarillos y Demócratas de cara a las parlamentarias de 2025
18,"Maximiliano Luksic, heredero de la primera fortuna de Chile, gana la alcaldía de Huechuraba"
19,"Gobierno muestra su preocupación por ""baja elección de mujeres como autoridades locales y regionales"""
20,"Alcalde electo de Macul sufre violento robo afuera de su casa: ""Son ellos o somos nosotros"""
21,"Quién es la abogada Catalina San Martín, nueva alcaldesa de Las Condes que derrotó a Cubillos, candidata fuerte de la oposición"
22,“El más feliz con perder es él mismo”: ola de troleos a Pablo Maltés tras inminente fracaso en La Pintana
